equipo,year,pts,pj,pg,pe,pp,gf,gc
"Mushuc Runa SC","Técnico Universitario","0","1","2021"
"CD Olmedo","Técnico Universitario","0","0","2021"
"Barcelona SC","Emelec","1","1","2021"
"Macará","Orense SC","1","0","2021"
"Nueve de Octubre","CD Olmedo","2","0","2021"
"LDU de Quito","Barcelona SC","0","0","2020"
"Mushuc Runa SC","Emelec","2","3","2020"
"Macará","River Plate Ecuador","1","1","2020"
"LDU Portoviejo","Macará","2","2","2020"
"Independiente","River Plate Ecuador","3","0","2020"
"Delfin SC","Técnico Universitario","0","2","2020"
"Delfin SC","LDU de Quito","0","0","2019"
"Delfin SC","Técnico Universitario","4","2","2019"
"Mushuc Runa SC","Delfin SC","2","0","2019"
"Macará","River Plate Ecuador","2","0","2019"
"Emelec","CD America de Quito","0","0","2019"
"Fuerza Amarilla SC","Barcelona SC","0","3","2019"
"Técnico Universitario","Universidad Católica","1","2","2019"
"LDU de Quito","Emelec","1","0","2018"
"El Nacional","Universidad Católica","1","3","2018"
"Barcelona SC","River Plate Ecuador","0","1","2018"
"Independiente","Aucas","0","1","2018"
"River Plate Ecuador","Independiente","0","1","2018"
"Técnico Universitario","Independiente","2","1","2018"
"Barcelona SC","Emelec","3","1","2018"
"River Plate Ecuador","Técnico Universitario","0","0","2018"
"Delfin SC","Emelec","0","2","2017"
"Barcelona SC","El Nacional","1","2","2017"
"Barcelona SC","River Plate Ecuador","0","0","2017"
"Barcelona SC","Delfin SC","1","2","2017"
"El Nacional","Delfin SC","0","0","2017"
"Emelec","Deportivo Cuenca","2","1","2017"
"Clan Juvenil","LDU de Quito","0","0","2017"
"Independiente","River Plate Ecuador","3","2","2016"
"Fuerza Amarilla SC","River Plate Ecuador","2","1","2016"
"Mushuc Runa SC","Deportivo Cuenca","3","2","2016"
"River Plate Ecuador","El Nacional","4","2","2016"
"Aucas","El Nacional","0","0","2016"
"LDU de Quito","Emelec","0","0","2015"
"Emelec","Independiente","3","2","2015"
"Liga de Loja","Mushuc Runa SC","2","1","2015"
"Deportivo Quito","Independiente","3","2","2015"
"Deportivo Quito","Barcelona SC","1","0","2015"
"Emelec","Universidad Católica","1","1","2015"
"Emelec","Barcelona SC","3","0","2014"
"Mushuc Runa SC","Liga de Loja","1","1","2014"
"Universidad Católica","El Nacional","0","2","2014"
"Universidad Católica","Emelec","0","2","2014"
"Deportivo Quito","Emelec","0","0","2014"
"Emelec","Mushuc Runa SC","1","0","2014"
"Deportivo Cuenca","Macará","2","0","2013"
"Independiente","Liga de Loja","1","0","2013"
"Liga de Loja","Deportivo Cuenca","1","3","2013"
"Deportivo Cuenca","Deportivo Quito","2","2","2013"
"Emelec","LDU de Quito","1","0","2012"
"Deportivo Cuenca","Liga de Loja","2","0","2012"
"Manta","Barcelona SC","1","1","2012"
"Liga de Loja","CD Olmedo","2","1","2012"
"El Nacional","Deportivo Quito","2","1","2012"
"LDU de Quito","El Nacional","1","1","2011"
"Barcelona SC","El Nacional","3","1","2011"
"Barcelona SC","CD Olmedo","1","0","2011"
"LDU de Quito","El Nacional","2","1","2011"
"Deportivo Quito","Imbabura","3","2","2011"
"Deportivo Quito","Manta","2","1","2011"
"Emelec","LDU de Quito","1","0","2010"
"El Nacional","Manta","4","0","2010"
"Barcelona SC","Universidad Católica","5","1","2010"
"Manta","Independiente","3","1","2010"
"Universidad Católica","ESPOLI","2","3","2010"
"Emelec","Universidad Católica","1","0","2010"
"LDU de Quito","Emelec","0","1","2009"
"Barcelona SC","Emelec","0","0","2009"
"LDU Portoviejo","Barcelona SC","2","0","2009"
"Barcelona SC","Técnico Universitario","4","1","2009"
"CD Olmedo","El Nacional","0","0","2009"
